No,Country/Region,App,Date,Ad requests,Returned ads,Impressions,Clicks,Fill rate%,Impression rate%,Click-through rate%,Estimated total revenue (USD),RPM (USD),Viewable impressions,Viewable impression rate%
133,"	Bulgaria","	Kick Ball Crazy","	20210425",4415,2348,1046,148,53.18,44.55,14.15,1.9,1.82,1117,47.57
134,"	Switzerland","	Kick Ball Crazy","	20210425",1577,1480,538,81,93.85,36.35,15.06,1.9,3.54,538,36.35
135,"	Tunis","	Kick Ball Crazy","	20210425",2714,1715,1215,185,63.19,70.85,15.23,1.87,1.54,1227,71.55
136,"	Sweden","	Kick Ball Crazy","	20210425",1580,1506,569,69,95.32,37.78,12.13,1.75,3.07,581,38.58
137,"	Serbia","	Kick Ball Crazy","	20210425",3824,1512,1031,133,39.54,68.19,12.9,1.52,1.47,1037,68.58
138,"	Lithuania","	Kick Ball Crazy","	20210425",649,557,302,52,85.82,54.22,17.22,1.49,4.95,305,54.76
139,"	Denmark","	Kick Ball Crazy","	20210425",723,678,377,56,93.78,55.6,14.85,1.29,3.42,380,56.05
140,"	Austria","	Kick Ball Crazy","	20210425",2524,2432,427,70,96.35,17.56,16.39,1.25,2.92,432,17.76
141,"	Oman","	Kick Ball Crazy","	20210425",1388,935,659,136,67.36,70.48,20.64,1.12,1.7,669,71.55
142,"	Philippines","	Kick Ball Crazy","	20210425",3514,2444,1003,148,69.55,41.04,14.76,1.1,1.1,1034,42.31
143,"	Finland","	Kick Ball Crazy","	20210425",316,293,152,20,92.72,51.88,13.16,1.02,6.72,152,51.88
144,"	Chile","	Kick Ball Crazy","	20210425",509,286,253,34,56.19,88.46,13.44,1.01,4,256,89.51
145,"	Czech Republic","	Kick Ball Crazy","	20210425",1050,833,501,60,79.33,60.14,11.98,1,2,501,60.14
146,"	Hungary","	Kick Ball Crazy","	20210425",1061,771,428,63,72.67,55.51,14.72,0.91,2.13,435,56.42
147,"	Croatia","	Kick Ball Crazy","	20210425",1300,706,428,56,54.31,60.62,13.08,0.87,2.04,448,63.46
148,"	Spain","	Kick Ball Crazy","	20210425",3108,3065,1199,165,98.62,39.12,13.76,0.83,0.69,1206,39.35
149,"	Latvia","	Kick Ball Crazy","	20210425",632,534,230,35,84.49,43.07,15.22,0.71,3.09,241,45.13
150,"	Mexico","	Kick Ball Crazy","	20210425",743,473,314,53,63.66,66.38,16.88,0.64,2.04,316,66.81
151,"	Belgium","	Kick Ball Crazy","	20210425",983,744,440,66,75.69,59.14,15,0.51,1.17,440,59.14
152,"	Peru","	Kick Ball Crazy","	20210425",600,227,161,28,37.83,70.93,17.39,0.49,3.04,176,77.53
153,"	Bosnia and Herzegovina","	Kick Ball Crazy","	20210425",1154,357,176,13,30.94,49.3,7.39,0.43,2.45,216,60.5
154,"	Morocco","	Kick Ball Crazy","	20210425",2156,1499,1074,164,69.53,71.65,15.27,0.42,0.4,1089,72.65
155,"	Myanmar","	Kick Ball Crazy","	20210425",218,152,85,16,69.72,55.92,18.82,0.37,4.38,86,56.58
156,"	Indonesia","	Kick Ball Crazy","	20210425",515,345,235,23,66.99,68.12,9.79,0.37,1.56,265,76.81
157,"	Kuwait","	Kick Ball Crazy","	20210425",1016,940,677,130,92.52,72.02,19.2,0.37,0.54,710,75.53
158,"	Bahrain","	Kick Ball Crazy","	20210425",338,219,187,34,64.79,85.39,18.18,0.36,1.92,194,88.58
159,"	Estonia","	Kick Ball Crazy","	20210425",155,135,72,13,87.1,53.33,18.06,0.34,4.79,72,53.33
160,"	Slovakia","	Kick Ball Crazy","	20210425",314,206,109,17,65.61,52.91,15.6,0.34,3.12,110,53.4
161,"	Thailand","	Kick Ball Crazy","	20210425",598,484,268,35,80.94,55.37,13.06,0.34,1.26,273,56.4
162,"	Slovenia","	Kick Ball Crazy","	20210425",800,361,292,20,45.13,80.89,6.85,0.33,1.14,292,80.89
163,"	Pakistan","	Kick Ball Crazy","	20210425",1271,868,578,99,68.29,66.59,17.13,0.33,0.57,604,69.59
164,"	French Guiana","	Kick Ball Crazy","	20210425",18,17,11,4,94.44,64.71,36.36,0.32,29.54,11,64.71
165,"	Aruba","	Kick Ball Crazy","	20210425",123,121,42,10,98.37,34.71,23.81,0.31,7.34,51,42.15
166,"	Vietnam","	Kick Ball Crazy","	20210425",389,172,153,4,44.22,88.95,2.61,0.21,1.36,153,88.95
167,"	Colombia","	Kick Ball Crazy","	20210425",508,118,67,22,23.23,56.78,32.84,0.21,3.07,67,56.78
168,"	India","	Kick Ball Crazy","	20210425",606,159,91,24,26.24,57.23,26.37,0.2,2.15,100,62.89
169,"	Netherlands","	Kick Ball Crazy","	20210425",388,342,159,25,88.14,46.49,15.72,0.19,1.2,162,47.37
170,"	Cameroon","	Kick Ball Crazy","	20210425",102,28,17,1,27.45,60.71,5.88,0.15,8.7,17,60.71
171,"	Albania","	Kick Ball Crazy","	20210425",447,234,144,25,52.35,61.54,17.36,0.14,1.01,144,61.54
172,"	Canada","	Kick Ball Crazy","	20210425",119,119,6,1,100,5.04,16.67,0.13,21.46,6,5.04
173,"	Brazil","	Kick Ball Crazy","	20210425",304,259,89,11,85.2,34.36,12.36,0.11,1.25,89,34.36
174,"	Moldova","	Kick Ball Crazy","	20210425",399,141,71,13,35.34,50.35,18.31,0.11,1.48,72,51.06
175,"	Nepal","	Kick Ball Crazy","	20210425",356,240,175,29,67.42,72.92,16.57,0.1,0.58,176,73.33
176,"	Qatar","	Kick Ball Crazy","	20210425",194,183,133,24,94.33,72.68,18.05,0.09,0.71,135,73.77
177,"	Bangladesh","	Kick Ball Crazy","	20210425",3212,417,156,53,12.98,37.41,33.97,0.08,0.51,181,43.41
178,"	Honduras","	Kick Ball Crazy","	20210425",165,101,88,7,61.21,87.13,7.95,0.07,0.77,95,94.06
179,"	Australia","	Kick Ball Crazy","	20210425",23,22,10,3,95.65,45.45,30,0.07,6.51,10,45.45
180,"	Lebanon","	Kick Ball Crazy","	20210425",527,244,151,33,46.3,61.89,21.85,0.06,0.42,152,62.3
181,"	Azerbaijan","	Kick Ball Crazy","	20210425",194,133,124,15,68.56,93.23,12.1,0.06,0.47,129,96.99
182,"	Hong Kong(China)","	Kick Ball Crazy","	20210425",136,136,135,7,100,99.26,5.19,0.06,0.43,135,99.26
183,"	Costa Rica","	Kick Ball Crazy","	20210425",282,79,76,2,28.01,96.2,2.63,0.05,0.71,77,97.47
184,"	Belarus","	Kick Ball Crazy","	20210425",938,208,104,9,22.17,50,8.65,0.05,0.52,132,63.46
185,"	Kenya","	Kick Ball Crazy","	20210425",88,66,53,8,75,80.3,15.09,0.05,0.99,53,80.3
186,"	Luxembourg","	Kick Ball Crazy","	20210425",69,23,22,1,33.33,95.65,4.55,0.05,2.22,22,95.65
187,"	Panama","	Kick Ball Crazy","	20210425",343,31,29,10,9.04,93.55,34.48,0.04,1.49,30,96.77
188,"	Laos","	Kick Ball Crazy","	20210425",252,68,54,9,26.98,79.41,16.67,0.04,0.75,55,80.88
189,"	Cambodia","	Kick Ball Crazy","	20210425",458,222,63,12,48.47,28.38,19.05,0.03,0.55,68,30.63
190,"	Antigua and Barbuda","	Kick Ball Crazy","	20210425",320,114,60,4,35.63,52.63,6.67,0.03,0.49,60,52.63
191,"	Kazakhstan","	Kick Ball Crazy","	20210425",135,49,46,0,36.3,93.88,0,0.03,0.59,46,93.88
